stationId,usaf,wban,stationName,country,fipsCountry,state,callSign,lat,lon,elevation,begin,end
724020-93739,724020,93739,"WALLOPS ISL STN",US,US,VA,KWAL,37.937,-75.471,14.6,19730101,20140313
724020-99999,724020,99999,"WALLOPS ISL STN",US,US,VA,KWAL,37.933,-75.483,12.0,19800101,19850311
724024-93739,724024,93739,"WALLOPS ISLAND UAU",US,US,VA,KWAL,37.937,-75.471,14.6,19791231,19910228
724025-99999,724025,99999,"WEIRWOOD/KELLAM FLD",US,US,VA,KW08,37.467,-75.883,12.0,19850814,19870813
724026-03716,724026,03716,"ACCOMACK CO",US,US,VA,KMFV,37.647,-75.761,14.3,20060101,20140313
724026-99999,724026,99999,"ACCOMACK CO",US,US,VA,KMFV,37.647,-75.761,14.0,19750916,20051231
724027-99999,724027,99999,"PARRAMORE BEACH",US,US,VA,K64W,37.533,-75.617,1.0,19750916,19940630
724028-99999,724028,99999,"CAPE CHARLES (CGS)",US,US,VA,KW51,37.25,-76.0,2.0,19790507,19910113
724029-93775,724029,93775,"RICHMOND (ASOS)",US,US,VA,KOFP,37.708,-77.434,62.5,20060101,20140313
724029-99999,724029,99999,"RICHMOND (ASOS)",US,US,VA,KOFP,37.7,-77.433,63.0,19970318,19970318
724030-93738,724030,93738,"WASHINGTON/DULLES",US,US,VA,KIAD,38.941,-77.464,98.5,19730101,20140313
724033-03706,724033,03706,"SHANNON",US,US,VA,KEZF,38.267,-77.449,25.9,20060101,20140313
724033-99999,724033,99999,"SHANNON",US,US,VA,KEZF,38.267,-77.45,26.0,19941016,20051231
724035-13773,724035,13773,"QUANTICO MCAF",US,US,VA,KNYG,38.5,-77.3,3.7,19730101,20140313
724036-03710,724036,03710,"MANASSAS RGNL DAVIS",US,US,VA,KHEF,38.721,-77.515,58.5,20060101,20140313
724036-99999,724036,99999,"MANASSAS RGNL DAVIS",US,US,VA,KHEF,38.721,-77.515,59.0,19920408,20051231
724037-93728,724037,93728,"DAVISON AAF",US,US,VA,KDAA,38.717,-77.183,22.6,19570201,20140313
724037-99999,724037,99999,"DAVISON AAF",US,US,VA,KDAA,38.717,-77.183,22.0,20000101,20041231
724040-13721,724040,13721,"PATUXENT RIVER NAS",US,US,MD,KNHK,38.3,-76.417,12.2,19450301,20140313
724043-03756,724043,03756,"EASTON/NEWMAN/FLD",US,US,MD,KESN,38.804,-76.069,21.9,20060428,20140313
724043-99999,724043,99999,"EASTON/NEWMAN/FLD",US,US,MD,KESN,38.8,-76.067,22.0,19960229,20050524
724045-93720,724045,93720,"SALISBURY OCEAN CIT",US,US,MD,KSBY,38.341,-75.51,18.3,19730101,20100731
724046-99999,724046,99999,"INDIAN RIVER (CGS)",US,US,DE,K61N,38.617,-75.067,1.0,19750716,19920316
724047-99999,724047,99999,"THOMAS POINT (CGS)",US,US,MD,K65W,38.9,-76.433,1.0,19750916,19860903
724048-99999,724048,99999,"COVE POINT (CGLS)",US,US,MD,K66W,38.383,-76.383,1.0,19750916,19860902
